,Clue,Answer,Explanation
0,"Simple task for topline poet, beginning to invoke Nora Batty",OPERATION,"Definition: Simple task for topline
anagram [batty] of POET I[nvoke] NORA: I have seen this clever exploitation of Nora Batty before – lovely!
"
1,African native agreed a place to start reading,OKAPI,"Definition: African native
OK [approved] + A + P I [page 1 – place to start reading] for this familiar crossword African native – I love the trendy leggings!
"
2,12 Seeing the future copper hit out,PROPHETIC,"Definition: 12 Seeing the future
anagram [out] of COPPER HIT
"
3,Desert Rat returning to a North Dakota 9 after vacation,ABANDON,"Definition: Desert
AB = ‘tar’ [‘rat returning] + A N D [a North Dakota] + ON  [O{peratio}N – answer to 9ac – ‘after vacation’]
"
4,Topline line opposite to that choice admen are flaunting,MACHINE CODE,"Definition: Topline line opposite to that
anagram [are flaunting] of CHOICE ADMEN: LANGUAGE appears on the bottom row [‘line opposite to that’], so the definition is COMPUTER LANGUAGE
"
5,Bugs city area on Long Island initially,E COLI,"Definition: Bugs
EC [city area] + O[n] L[ong] I[sland]
"
6, Wordplay with change of heart from what Boatman essentially wants,PUN,"Definition:  Wordplay
‘BoATMan essentially’ is ATM, which wants a PIN, which, with a change of heart, becomes PUN: I often complain about ambiguity in these reversal clues but I think the ‘change of heart from’ makes it clear that the answer is PUN rather than PIN
"
7," Flower found in wine, including a little rosé",TRENT,"Definition:  Flower
R [a little rosé] in TENT [Spanish wine] for the river into which my local Soar flows
"
8,A red top’s spread about Madonna?,ADOPTER,"Definition: Madonna?
anagram of A RED TOP: as indicated by the question mark, Madonna, who has famously adopted two children from Malawi,  is a definition by example
"
9,Soft rock group are not starting out on tour too early,PREMATURE,"Definition: too early
P [soft] R.E.M. [rock group]   + anagram [on tour] of ARE + UT [‘not starting oUT’]
"
10,Our home in Ireland finally escaping famine,EARTH,"Definition: Our home
dEARTH [famine] minus d – last letter – finally – of Ireland
"
11,Component of fast racing car,ASTRA,"Definition: car
hidden in fAST RAcing
"
12,Potentially revealing bits of material in kiss and tell stories about card player and partner,NECKLINES,"Definition: Potentially revealing bits of material
NECK [kiss] + N [North – bridge player] in LIE [tell stories] + S [South – North’s partner]

**Down**
"
13,Fish on top of each wave for 25 23?,CODE BREAKER,"Definition: 25 23?
COD [fish] + E [first letter – top – of Each] BREAKER [wave]: Alan Turing [answer to 25 23], of course, broke the Enigma code
"
14,Unnatural condition of dictionary with letter M before A,OEDEMA,"Definition: Unnatural condition
OED [Oxford English Dictionary] + EM [letter M]  before A
"
15,Male nearly killed mate mixing drink,MALTED MILK,"Definition: drink
I read this as M [male] + anagram [mixing] of ‘nearly KILLED MAT[e]’ rather than ‘nearly KILL[e]D MATE’
"
16,Type of cipher Peanuts character found in US animal home,PIGPEN,"triple definition: this cipher  as well as this character  and the animal home
"
17,"Rare sort of noun, shortened in the middle",UNCOMMON,"Definition: Rare
this one had me stumped the longest of all: I stared at it for ages, off and on, seeing COMM[on] [a sort of noun] in an anagram [sort of] of NOUN but couldn’t make that work. Then a kind friend I made at the Derby S and B gave me a broad hint to look really carefully at the clue [again!] and there it is, shortened, in the very middle of the clue, as well as the solution, in an anagram of NOUN – exactly as it says on the tin! How brilliant is that? [It’s rather reminiscent of the armadillo, cutely curled up in the middle of Puck’s last puzzle, which I failed to spot in my blog. 🙁 ]
"
18,Drunkard turns up drug in rubbish,TOSH,"Definition: rubbish
reversal [turns up] of SOT [drunkard] + H [heroin]
"
19,Ultimately airplane disaster almost ruined part of New York,EAST SIDE,"Definition: part of New York
E [last letter – ultimately – of airplanE + anagram [ruined] of DISASTE[r] [almost]
"
20,Topline pair of states,RISC,"Definition: Topline
Reduced Instruction Set Computer
"
21,"First pieces of April crop – early rhubarb, but bitter and sour",ACERB,"Definition: bitter and sour
initial letters [first pieces] of April Crop Early Rhubarb But
"
22,"Source of oil? Suspect artic, one carrying L-plates",CITRONELLA,"Definition: Source of oil
anagram [suspect] of ARTIC ONE round [carrying] LL [L-plates]
"
23,Topline key hospital departments in UK and US,ENTER,"Definition: Topline key
ENT [UK Ear Nose and Throat dept] + ER [US Emergency Room]
"
24,"Noted drama as half-cut alternative to 16, used in 9 by terrorists",OPERETTA,"Definition: Noted drama
RET [half-cut RETurn – alternative to ENTRY key [16] – inside [used in] OP [operation  – answer to 9ac] ETA [Basque terrorists]
"
25,Following football team that’s regretting missing headers,PURSUING,"Definition: Following
sPURS [football team] + rUING [regretting] both minus initial letters [missing headers] – great surface!
"
26,Outline contents of paper cup,APERCU,"Definition: Outline
hidden in pAPER CUp
"
27,Imagined topline city church in good state,TURING MACHINE,"Definition: Imagined topline
TURIN city] + CH [church] in G [good] MAINE [state]
"
28, A series of loud sounds from European breaking china,PEAL,"Definition:  A series of loud sounds
E [European] in PAL [china – Cockney rhyming slang: china plate = mate]
"
29,"A topline network university put in place in Herts for 1,21",ALAN TURING – the genius hero of the theme ,"Definition: 1,21
I could see the second part: U [university] in TRING [place in Herts] but needed to guess and consult the dictionaries to find that A LAN is A Local Area Network
"
30,Backless shoes bad for socks?,HOSE,"Definition: socks
anagram [bad] of SHOEs, minus the last letter [backless]
"
41,First course requests under which they’ll soon be off,STARTER’S ORDERS,"Definition: First course requestsunder which they’ll soon be off
Double / cryptic definition
"
42,City subject is out of place,ECTOPIC,"Definition: out of place
EC [City of London] + TOPIC [subject]
"
43,Hebrew girl needs to come in just a bit harder,TABITHA,"Definition: Hebrew girl
hidden in jusT A BIT HArder – the Hebrew girl Tabitha was raised from the dead by St Peter
"
44,Obvious scheme to catch one,PLAIN,"Definition: Obvious
PLAN [scheme] round [to catch] I [one]
"
45,Assign binder to one form of element,ALLOTROPE,"Definition: one form of element
ALLOT [assign] ROPE [binder]
"
